fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
54101,2008-03-13,0.0,92.42,5.97,7.69,4.5,4.51,16.73,-0.27,17.0,7.14,2.7,4.09,1.57,2.53,5.65,7.55,3.15,4.4,
17169,2008-11-15,0.4,99.37,3.36,1.71,-1.96,-1.92,4.55,-2.73,7.29,1.81,7.53,9.41,4.98,4.43,9.94,11.58,7.82,3.76,
47171,2005-08-11,0.09,93.69,11.24,25.41,14.71,14.71,32.53,18.16,14.38,24.18,0.88,1.71,0.39,1.32,1.5,2.73,0.7,2.03,
12097,2005-02-12,0.0,101.96,3.94,9.81,0.67,0.72,18.8,1.83,16.97,10.19,3.29,4.84,2.19,2.65,5.56,7.78,2.64,5.14,
8063,2002-08-12,0.55,86.3,7.86,20.35,8.05,8.06,26.09,13.72,12.36,22.06,6.45,9.69,2.18,7.52,8.06,11.78,4.06,7.72,
55039,2014-06-28,3.8,98.29,14.92,21.98,19.93,19.93,25.36,18.41,6.95,21.94,6.13,7.55,4.18,3.37,8.47,9.86,6.44,3.42,
55063,2011-03-28,0.0,98.95,2.0,-4.72,-8.4,-8.31,1.1,-11.4,12.5,-6.25,2.44,3.37,1.79,1.57,3.36,4.71,2.01,2.7,
20113,2007-02-06,0.0,96.42,4.28,3.31,0.81,0.82,14.45,-2.94,17.39,2.87,4.7,5.9,3.02,2.88,7.27,9.6,5.26,4.34,2.0
54053,2010-07-21,9.31,98.79,18.61,25.57,23.66,23.66,29.3,23.24,6.06,25.57,1.69,2.41,1.17,1.24,3.99,4.8,2.88,1.93,
51079,2001-03-29,39.94,99.34,4.43,2.7,1.86,1.86,6.12,-0.77,6.88,2.74,2.05,3.89,1.03,2.87,3.76,6.31,1.52,4.79,
31007,2009-05-25,1.72,85.81,8.98,14.22,10.0,10.0,17.68,11.0,6.68,14.56,5.39,7.27,2.8,4.46,7.38,9.07,5.42,3.65,
13293,2014-09-17,0.5,99.08,13.26,24.65,18.14,18.14,32.31,17.57,14.74,24.77,1.58,1.98,1.29,0.69,3.56,4.88,2.04,2.84,
26093,2008-08-22,1.53,98.97,13.65,24.81,18.66,18.66,30.61,20.08,10.54,24.76,4.01,5.3,2.38,2.92,6.54,7.79,5.2,2.59,
48345,2007-05-04,0.01,92.35,9.78,23.69,11.98,11.98,32.77,13.27,19.5,24.15,7.5,9.55,5.44,4.11,10.29,12.8,7.14,5.66,
18041,2008-09-17,0.0,98.77,8.06,18.03,10.47,10.48,25.74,11.73,14.02,18.08,1.97,3.11,0.43,2.68,3.27,6.67,0.48,6.19,
38017,2005-01-02,0.0,98.92,0.73,-16.82,-19.19,-18.8,-11.79,-20.7,8.92,-17.88,4.73,6.32,3.48,2.84,6.36,8.76,4.58,4.18,
41013,2012-12-26,4.24,86.11,2.98,-4.64,-5.31,-5.31,-0.63,-6.84,6.21,-5.51,2.8,4.01,1.89,2.12,4.6,6.36,3.3,3.06,
18033,2004-07-15,0.0,97.99,10.09,20.08,13.81,13.81,26.27,14.16,12.11,19.92,4.98,7.02,2.82,4.2,7.55,8.77,5.59,3.18,
29186,2014-09-04,1.34,99.05,15.2,27.24,20.36,20.36,33.89,21.33,12.56,27.34,2.63,3.36,1.87,1.49,4.84,5.72,3.73,2.0,
39149,2013-12-10,0.56,98.67,1.51,-7.3,-11.53,-11.31,-3.33,-11.02,7.69,-7.37,6.43,11.9,4.0,7.9,8.65,14.94,5.34,9.59,0.0
25019,2013-11-17,2.96,102.21,7.7,11.72,10.21,10.21,14.04,9.65,4.4,10.94,6.54,11.19,1.71,9.48,8.45,14.98,1.86,13.11,
20203,2000-12-18,0.01,91.2,2.11,0.26,-8.69,-8.48,3.44,-4.62,8.06,-0.31,9.39,11.55,3.67,7.88,13.06,16.11,6.75,9.36,
21091,2007-04-13,12.21,100.35,4.35,6.01,1.67,1.69,13.82,-1.43,15.25,6.49,1.8,2.34,1.23,1.11,3.03,4.79,1.49,3.31,
12057,2012-02-29,0.39,101.88,12.42,22.9,17.61,17.61,29.28,17.77,11.51,23.77,3.07,4.16,1.22,2.94,4.59,6.16,2.28,3.88,
19091,2008-10-05,0.66,97.33,10.14,16.6,13.59,13.59,23.43,11.16,12.27,16.56,6.83,8.27,4.96,3.31,9.33,10.45,7.76,2.69,
37071,2000-11-28,0.05,99.08,3.83,6.1,-0.14,-0.1,15.69,-0.59,16.28,5.22,2.28,2.93,1.32,1.61,3.81,5.42,1.5,3.93,3.0
47131,2005-09-26,0.65,100.1,15.37,23.97,20.67,20.67,29.07,18.71,10.36,24.43,4.05,6.13,3.21,2.93,5.8,8.43,3.79,4.64,
19069,2000-10-31,0.24,97.66,9.37,15.33,12.56,12.56,22.84,8.24,14.6,14.94,4.69,6.7,2.8,3.9,7.05,9.3,4.72,4.58,1.6045
48507,2003-09-14,5.65,99.23,16.28,26.64,21.49,21.49,32.99,20.5,12.49,27.46,4.47,6.14,2.82,3.32,6.15,8.22,4.03,4.19,
12001,2014-11-13,0.0,101.36,10.04,18.77,14.14,14.14,25.73,14.04,11.69,18.65,1.74,2.95,0.37,2.58,2.94,5.11,0.38,4.72,
41003,2009-06-19,3.15,98.3,8.93,13.7,11.99,11.99,16.16,9.39,6.77,13.78,2.74,3.94,1.79,2.15,4.54,5.73,3.62,2.11,
17187,2001-08-30,5.09,98.7,13.46,24.72,18.29,18.29,32.16,17.99,14.17,25.03,3.35,4.99,2.27,2.71,5.59,7.81,3.46,4.35,
38057,2006-07-29,0.05,93.7,11.16,24.55,14.52,14.52,33.24,15.05,18.19,26.09,6.79,8.84,4.19,4.65,8.57,11.21,6.45,4.75,
38091,2012-01-15,0.01,96.23,2.38,-2.85,-6.72,-6.64,3.41,-7.4,10.81,-3.38,6.39,9.01,3.25,5.77,9.23,11.74,6.04,5.7,
31061,2006-02-16,0.68,94.97,1.58,-5.67,-11.49,-11.21,-4.16,-7.15,2.99,-4.77,8.69,10.71,6.65,4.06,10.54,12.7,8.3,4.4,
39089,2005-09-11,0.0,98.72,8.75,21.71,11.71,11.72,30.24,12.77,17.47,20.75,1.68,2.08,1.12,0.95,3.14,5.68,1.55,4.13,
40119,2015-01-03,3.57,97.89,3.9,1.15,0.01,0.01,4.34,-2.11,6.45,0.9,2.88,8.84,0.82,8.02,4.75,11.63,1.02,10.6,
25015,2005-12-19,0.13,98.78,2.14,-6.44,-7.57,-7.54,-3.63,-8.84,5.21,-6.76,2.39,3.45,1.57,1.88,4.87,6.26,3.2,3.06,
42001,2009-11-15,0.02,98.98,8.05,12.2,10.54,10.54,19.4,7.37,12.03,11.8,2.63,3.14,2.14,1.0,4.97,6.3,3.04,3.26,
48159,2007-05-16,0.05,100.49,9.09,18.4,12.56,12.56,23.67,14.1,9.57,18.78,4.37,6.39,2.27,4.11,6.2,7.98,4.28,3.7,
1107,2004-10-12,2.06,99.86,13.24,21.82,18.3,18.3,27.48,16.67,10.81,21.87,1.93,2.78,1.12,1.66,4.0,5.54,1.92,3.63,0.0
48357,2004-04-30,0.68,91.87,5.26,8.21,3.31,3.32,12.11,5.18,6.93,9.34,6.02,7.07,5.28,1.8,7.31,8.9,6.46,2.44,
37059,2008-11-04,0.95,98.95,8.21,13.54,10.86,10.86,17.78,11.15,6.63,13.46,5.41,7.08,4.13,2.95,7.99,9.24,6.72,2.51,1.8804
41057,2016-09-02,3.05,98.89,8.83,13.74,11.91,11.91,17.25,10.23,7.01,13.61,2.39,3.11,1.58,1.54,4.32,5.03,3.34,1.68,
21203,2006-11-24,0.0,98.3,4.97,7.57,3.37,3.38,18.42,-0.34,18.76,6.22,2.01,3.03,1.16,1.87,3.84,6.53,1.72,4.82,
42123,2006-10-13,0.09,95.01,3.09,3.12,-3.49,-3.43,8.29,-2.56,10.85,3.36,3.38,4.75,2.21,2.53,6.62,8.99,4.33,4.66,
29157,2009-12-10,0.0,100.26,1.5,-5.97,-11.53,-11.22,-1.52,-9.25,7.73,-5.68,4.25,5.78,2.31,3.47,6.42,7.91,4.96,2.95,
48455,2013-08-12,0.27,100.48,15.93,30.47,21.34,21.34,37.47,23.8,13.67,31.26,2.25,2.87,1.09,1.77,3.92,5.75,2.73,3.02,
6071,2000-11-24,0.0,93.76,2.24,11.34,-7.59,-7.24,20.13,5.27,14.86,9.16,2.09,2.73,1.4,1.33,2.91,4.11,1.42,2.69,
1073,2016-12-20,0.05,100.63,3.82,1.91,-0.15,-0.14,8.81,-4.6,13.41,0.24,0.99,1.51,0.04,1.46,1.79,3.49,0.12,3.37,5.0
37155,2000-11-19,20.38,101.4,3.95,1.79,0.69,0.7,3.18,0.04,3.14,2.06,3.12,4.78,1.76,3.02,4.43,5.87,3.26,2.61,
39001,2006-06-13,0.0,98.67,8.88,18.44,11.96,11.96,25.89,10.19,15.7,18.56,1.66,2.1,1.29,0.81,3.63,5.63,1.85,3.78,0.0
46031,2000-08-10,0.02,93.93,10.79,29.05,14.14,14.14,38.17,20.51,17.66,29.42,6.28,7.62,4.31,3.32,8.99,10.26,7.61,2.65,
50007,2008-12-08,0.03,98.88,0.68,-16.35,-19.72,-19.08,-11.94,-20.04,8.1,-17.72,2.57,4.45,0.65,3.8,4.41,7.69,0.87,6.82,
26027,2003-04-22,0.12,98.49,3.72,4.02,-0.6,-0.57,10.02,-1.5,11.52,4.74,6.52,8.76,3.94,4.82,8.83,10.23,7.22,3.01,2.0
47089,2005-01-16,0.09,96.68,2.98,-0.57,-4.01,-3.96,6.67,-7.18,13.85,-0.56,2.98,5.59,0.26,5.32,4.59,8.15,0.38,7.76,
46031,2010-03-26,0.02,92.72,3.99,6.14,-0.45,-0.43,15.55,-1.91,17.47,6.92,6.11,8.01,4.29,3.72,8.39,10.72,4.82,5.91,
28127,2012-02-13,14.99,100.79,4.05,3.67,-0.09,-0.04,9.32,-4.0,13.32,3.75,1.94,2.71,1.19,1.52,4.09,5.45,1.88,3.57,
27133,2002-01-06,0.02,96.6,1.71,-7.17,-11.05,-10.81,-2.24,-12.76,10.52,-7.35,6.83,10.9,1.59,9.3,9.01,12.95,2.57,10.38,
48011,2013-12-15,0.0,91.62,2.45,3.8,-6.79,-6.63,13.9,-2.34,16.24,2.69,3.95,5.39,2.42,2.97,6.4,9.44,4.17,5.27,
28057,2015-11-25,0.0,101.01,6.52,10.15,7.37,7.37,18.23,2.8,15.43,10.1,2.64,3.4,2.02,1.38,5.53,6.72,3.81,2.91,
8075,2008-09-18,0.0,86.9,7.01,19.47,6.56,6.57,28.47,11.56,16.92,19.85,3.79,5.88,2.23,3.65,5.84,8.46,3.69,4.77,
22025,2001-09-16,0.0,101.18,12.05,23.65,17.02,17.02,29.81,17.17,12.63,23.51,1.86,2.51,0.77,1.74,3.14,4.84,0.72,4.12,
31063,2011-06-05,0.0,92.16,11.87,24.57,15.29,15.29,34.25,15.52,18.73,25.22,3.47,4.26,2.27,1.99,5.7,9.23,2.79,6.44,
22105,2000-10-09,0.01,102.35,3.63,9.41,-0.41,-0.34,13.62,6.55,7.06,9.7,2.67,3.5,1.68,1.82,5.39,6.91,4.2,2.71,
38043,2001-11-04,0.0,95.52,4.72,8.07,2.31,2.32,17.16,1.66,15.5,7.05,4.56,5.99,2.86,3.13,7.91,10.27,4.7,5.57,
47073,2004-01-14,0.68,94.3,4.03,2.52,-0.23,-0.22,8.7,-2.64,11.34,2.47,2.62,4.83,0.58,4.25,4.88,8.78,0.9,7.88,
30021,2004-03-26,3.66,91.94,4.87,9.62,1.65,1.67,21.61,1.91,19.69,9.52,9.74,15.73,4.67,11.06,12.6,19.17,7.1,12.06,
29001,2000-06-02,0.25,99.08,6.99,19.52,8.08,8.09,24.95,13.75,11.2,20.29,4.22,6.04,2.45,3.59,6.08,8.46,4.75,3.71,
38085,2007-11-20,0.47,94.83,2.45,-1.36,-6.46,-6.37,1.43,-5.15,6.59,-1.33,4.72,6.94,3.38,3.56,6.78,8.26,5.3,2.96,1.7318000000000002
5081,2010-11-19,0.0,100.74,5.49,7.62,5.21,5.21,15.4,2.85,12.55,7.72,2.14,2.55,1.68,0.88,4.04,6.41,2.37,4.04,
46019,2003-03-06,0.79,87.67,1.99,-5.35,-10.6,-10.33,0.76,-10.33,11.08,-5.07,4.96,9.29,1.37,7.92,6.9,11.03,1.51,9.51,
40001,2012-09-03,0.01,98.11,14.61,31.16,19.55,19.55,40.6,23.18,17.42,31.28,2.15,3.09,1.43,1.66,3.73,6.3,2.59,3.71,
30085,2007-07-27,0.07,93.8,7.95,24.02,9.51,9.51,32.05,15.39,16.66,24.86,4.54,6.15,3.08,3.07,6.85,9.82,4.95,4.87,
18137,2004-06-16,13.64,98.68,17.81,24.44,22.89,22.89,28.05,21.04,7.01,24.38,3.11,3.95,2.06,1.89,5.24,6.72,4.01,2.72,
54109,2016-01-02,0.0,96.21,2.83,-1.01,-4.45,-4.4,5.37,-4.48,9.84,-1.03,2.27,3.35,1.64,1.71,4.84,6.68,3.21,3.47,
20159,2001-04-25,0.0,96.27,6.25,16.32,6.38,6.39,24.58,8.09,16.49,16.37,2.48,4.1,1.1,3.0,4.05,8.95,0.96,7.99,
30039,2016-08-27,0.0,80.57,5.81,14.18,2.77,2.78,21.06,6.98,14.08,14.17,2.5,3.68,1.74,1.95,5.3,6.16,3.09,3.07,
13267,2005-02-27,32.82,100.56,6.65,9.02,7.9,7.9,11.53,6.03,5.5,8.93,6.73,9.34,3.83,5.5,9.1,12.33,6.27,6.06,
40117,2016-02-14,0.0,98.03,5.12,8.03,3.67,3.68,13.63,3.88,9.74,7.23,3.19,7.28,0.76,6.52,4.46,10.48,1.08,9.4,
17161,2002-04-02,1.41,98.75,3.85,2.87,-0.21,-0.19,6.22,-1.01,7.23,3.25,7.3,10.58,2.82,7.75,9.25,13.14,3.59,9.54,0.0
31037,2010-09-12,0.0,96.12,7.93,21.27,9.77,9.77,31.07,12.8,18.27,21.18,4.66,8.06,1.77,6.29,7.29,10.23,3.83,6.4,
16055,2012-02-03,0.13,92.14,2.54,-6.02,-6.77,-6.76,1.0,-11.07,12.07,-6.2,2.31,2.64,1.93,0.71,3.92,4.78,3.38,1.4,
55141,2009-07-15,1.25,97.35,10.7,22.06,14.2,14.2,26.53,15.61,10.92,22.48,6.62,9.84,3.92,5.92,9.33,13.44,5.71,7.73,
12061,2004-07-12,2.09,101.53,17.1,28.01,22.72,22.72,31.67,24.46,7.21,28.67,1.45,2.56,0.54,2.02,1.99,4.36,0.79,3.57,
47069,2013-05-23,0.0,99.95,11.52,19.93,16.16,16.16,25.24,14.73,10.51,19.93,2.79,4.55,1.65,2.9,5.31,7.07,2.47,4.61,
51133,2012-05-17,0.07,101.62,11.07,19.16,15.7,15.7,21.23,15.88,5.35,19.42,5.04,7.44,1.33,6.11,6.62,9.19,2.23,6.97,
5033,2011-03-08,2.78,97.15,7.05,9.35,7.88,7.89,15.12,4.29,10.83,9.4,3.64,5.24,0.95,4.28,5.7,7.54,2.34,5.2,2.0391
51139,2003-05-29,2.73,97.18,9.41,15.03,12.51,12.51,19.91,11.03,8.88,14.9,0.95,1.98,0.1,1.89,2.25,5.16,0.14,5.02,
48307,2010-07-07,3.19,95.63,15.99,27.4,20.66,20.66,33.02,22.08,10.94,28.41,2.71,5.05,0.92,4.13,4.12,6.4,1.11,5.29,
21197,2015-08-31,0.0,98.25,12.19,24.93,16.77,16.77,32.44,17.67,14.77,25.19,1.27,1.68,0.83,0.86,2.6,4.42,1.28,3.15,
39053,2015-06-05,0.09,98.67,12.0,22.6,16.59,16.59,29.16,15.89,13.28,22.56,1.18,1.63,0.54,1.09,2.88,4.15,0.89,3.26,
38089,2001-05-14,0.03,91.71,7.61,22.64,8.38,8.39,29.83,15.21,14.62,22.97,4.91,7.19,0.77,6.42,6.83,11.66,1.13,10.53,
48267,2006-05-29,0.75,94.19,14.83,25.59,19.13,19.13,32.26,20.5,11.76,26.83,5.6,6.61,4.8,1.8,7.11,8.09,6.12,1.97,
55013,2008-07-23,0.0,98.06,9.24,18.86,12.36,12.37,25.28,10.28,15.0,19.2,2.76,3.51,1.99,1.52,4.63,6.86,2.27,4.58,
51011,2000-09-27,0.0,99.85,5.88,13.72,6.05,6.06,21.21,6.36,14.85,12.66,1.25,1.94,0.39,1.55,2.36,4.04,0.5,3.54,
6077,2001-07-15,0.0,98.9,6.92,19.8,8.21,8.23,31.59,11.27,20.33,22.61,4.41,7.45,2.23,5.22,5.21,8.69,3.02,5.67,
20081,2006-07-22,0.0,92.1,9.82,26.38,12.47,12.47,33.55,18.55,15.01,29.07,2.63,5.78,0.15,5.64,3.62,8.19,0.23,7.96,
37159,2006-02-19,0.08,99.52,2.11,-1.9,-7.76,-7.59,3.71,-6.6,10.31,-0.86,2.46,4.61,0.54,4.06,3.84,6.08,0.22,5.86,
39057,2003-03-05,4.0,97.17,4.27,2.0,0.5,0.52,6.92,-3.7,10.62,1.87,5.81,8.26,4.05,4.22,7.89,12.32,5.39,6.93,
19195,2003-06-20,0.0,97.74,6.67,17.43,7.55,7.55,24.34,9.43,14.91,17.79,4.34,5.91,3.07,2.84,6.89,9.63,4.65,4.98,
5021,2010-05-24,10.41,100.5,17.0,25.72,22.44,22.44,29.79,21.57,8.22,25.31,1.59,2.36,0.21,2.15,2.44,4.53,0.27,4.25,
16065,2014-02-19,3.55,81.75,2.61,-3.75,-7.84,-7.75,-0.67,-12.36,11.69,-4.29,5.94,9.23,3.42,5.81,8.68,12.93,5.75,7.18,
41047,2002-12-10,13.0,96.62,5.74,5.61,5.2,5.21,7.18,4.3,2.88,5.4,3.76,6.44,2.36,4.08,6.95,10.87,4.72,6.15,1.0
12105,2003-12-06,0.0,101.37,5.53,11.02,4.89,4.91,14.07,6.22,7.85,11.47,5.33,7.53,3.17,4.36,7.6,9.85,5.5,4.35,
34015,2005-02-22,0.61,101.24,3.74,2.25,-0.1,-0.09,6.62,-0.74,7.37,1.83,2.7,3.88,0.79,3.09,4.13,5.19,1.07,4.11,0.0
6035,2016-05-20,11.86,82.38,4.7,3.17,0.2,0.2,6.54,0.86,5.67,4.16,3.3,5.55,1.06,4.49,4.32,7.0,1.5,5.5,
48007,2003-03-25,12.71,101.16,13.09,19.68,18.38,18.38,21.83,18.35,3.47,19.24,5.38,6.7,2.79,3.91,7.95,9.36,5.2,4.15,0.0
28069,2012-11-06,0.03,100.25,6.05,9.36,6.56,6.56,15.78,5.3,10.48,9.39,1.65,2.52,1.07,1.45,3.59,5.12,1.87,3.25,0.0
48355,2009-04-10,0.0,100.64,13.18,23.82,18.15,18.15,29.54,20.02,9.52,24.59,4.56,6.03,2.9,3.12,6.31,7.58,5.23,2.35,
45049,2008-03-04,8.15,100.66,12.26,19.07,17.2,17.2,23.85,14.29,9.55,18.92,5.35,7.36,3.52,3.84,9.41,12.3,7.37,4.93,0.9591
47131,2015-03-04,30.02,100.57,3.79,0.79,-0.81,-0.79,7.84,-6.01,13.85,1.0,7.95,10.93,2.5,8.43,9.99,13.14,4.06,9.08,
28099,2007-06-24,2.0,100.05,14.38,27.37,19.65,19.65,33.48,21.35,12.12,27.31,1.23,1.62,0.74,0.88,2.84,4.5,1.38,3.13,
5013,2006-10-01,0.0,100.85,14.01,26.04,19.37,19.37,35.24,18.98,16.26,25.87,1.33,2.01,0.96,1.05,3.15,4.67,1.7,2.97,
13077,2004-01-07,0.0,100.15,1.73,-2.79,-10.02,-9.7,4.63,-7.67,12.31,-2.98,2.09,2.48,1.41,1.07,3.78,4.92,2.87,2.05,
9001,2013-08-05,0.0,100.51,8.08,19.2,10.71,10.71,23.7,14.03,9.67,19.08,2.45,3.62,0.95,2.67,3.86,5.49,1.32,4.17,
21081,2011-02-27,10.33,98.18,7.45,9.81,8.65,8.65,15.79,1.61,14.18,9.72,2.99,5.54,1.62,3.92,5.6,9.56,2.37,7.19,
47183,2003-08-07,1.24,99.78,14.46,23.92,19.74,19.74,28.8,19.01,9.8,24.08,3.17,4.31,2.26,2.05,5.06,5.84,3.48,2.36,
51685,2015-11-20,0.0,101.24,3.96,7.43,0.14,0.2,11.8,2.15,9.64,7.14,3.92,5.49,2.5,3.0,6.88,9.05,5.2,3.85,
54025,2007-05-21,0.14,94.19,9.79,17.07,12.63,12.63,24.12,10.04,14.09,16.92,1.82,2.16,1.01,1.15,3.81,4.96,2.78,2.19,
48287,2003-01-14,0.02,101.43,5.39,6.11,5.0,5.0,12.6,2.18,10.42,6.26,1.83,2.42,0.77,1.64,2.75,3.98,0.97,3.01,0.0
21043,2015-12-19,0.0,99.55,2.23,-1.54,-6.92,-6.79,3.51,-4.5,8.01,-1.86,2.77,3.92,1.48,2.45,5.44,7.55,2.14,5.41,
28029,2013-07-06,2.64,100.31,16.25,24.65,21.69,21.69,28.96,20.85,8.11,24.7,1.45,1.98,1.06,0.92,3.18,3.81,2.25,1.56,
54041,2001-11-02,1.96,94.75,8.12,14.65,10.02,10.02,19.48,11.9,7.58,14.65,2.19,2.91,1.32,1.59,5.17,5.87,4.08,1.79,
35001,2013-05-28,0.0,80.98,2.13,19.84,-9.91,-9.44,28.76,8.96,19.8,21.67,4.04,5.88,1.69,4.19,6.03,8.2,2.09,6.11,5.0
17015,2004-01-08,0.12,99.32,1.87,-7.22,-9.05,-9.0,-3.01,-11.81,8.81,-7.64,3.54,5.1,0.72,4.38,4.87,6.96,1.01,5.95,
17151,2001-02-09,10.96,99.73,7.34,10.3,7.53,7.56,18.73,-3.12,21.85,9.89,9.68,14.62,5.77,8.85,13.41,19.75,8.3,11.45,
18167,2013-07-20,18.05,99.05,18.21,25.48,23.31,23.32,28.39,22.27,6.11,25.36,2.86,4.81,0.31,4.5,4.28,7.49,0.42,7.06,
29159,2010-03-22,0.0,98.4,3.81,4.37,-0.33,-0.31,12.56,-3.4,15.96,3.88,2.98,4.37,1.37,3.0,4.37,7.27,2.12,5.15,
13039,2008-05-08,0.15,101.06,13.1,25.63,18.22,18.22,32.1,19.96,12.14,25.71,3.17,4.21,2.02,2.19,5.65,7.11,3.57,3.54,
20057,2015-11-12,0.0,93.9,3.23,6.97,-3.06,-2.98,15.33,0.6,14.73,6.47,3.37,6.21,0.69,5.52,5.05,9.8,1.01,8.78,
13283,2004-10-05,0.02,101.22,11.29,20.85,15.98,15.98,27.11,14.28,12.82,20.19,2.25,3.1,1.68,1.41,3.47,4.75,2.22,2.53,0.0
17149,2014-12-03,0.0,100.34,2.83,-0.46,-3.91,-3.86,5.05,-3.18,8.23,-0.79,3.31,5.06,1.64,3.42,5.31,7.09,2.85,4.24,
18159,2001-03-04,1.2,98.07,3.21,0.55,-2.63,-2.61,6.12,-4.08,10.2,0.65,6.72,9.27,3.75,5.51,8.87,11.13,5.97,5.16,
38009,2012-01-11,0.33,96.19,0.94,-12.92,-17.31,-16.72,-3.01,-17.9,14.89,-12.44,10.07,11.05,7.27,3.78,12.33,13.76,9.09,4.67,
20153,2005-09-22,0.13,90.76,6.56,17.45,6.26,6.26,21.33,15.04,6.3,18.1,6.04,10.1,2.49,7.61,8.04,13.44,4.97,8.47,
12103,2012-12-07,0.16,101.38,12.37,20.22,17.5,17.5,23.68,17.36,6.33,20.8,2.67,4.07,0.31,3.76,3.41,5.03,0.45,4.58,
27095,2010-07-05,12.81,97.02,14.22,23.1,18.84,18.84,28.09,17.84,10.25,22.9,2.82,4.23,1.22,3.01,4.02,5.89,1.74,4.15,
12113,2002-09-07,6.04,101.18,16.47,26.24,21.98,21.98,29.27,23.89,5.38,26.3,3.6,5.43,2.13,3.29,5.84,7.78,4.02,3.75,
17139,2011-03-17,0.0,99.01,9.08,14.88,11.72,11.72,23.09,5.66,17.43,14.62,8.17,11.7,5.29,6.41,11.28,14.8,8.13,6.67,
51678,2013-04-04,13.57,97.22,2.95,0.6,-3.99,-3.91,4.71,-2.8,7.51,0.55,1.35,2.02,0.49,1.53,2.62,4.53,0.92,3.62,
49025,2007-05-26,0.0,82.15,3.76,18.02,-3.04,-2.92,25.43,10.01,15.43,17.45,3.16,5.55,1.2,4.34,4.11,6.29,1.71,4.57,
8039,2011-05-14,2.26,82.13,4.26,7.5,-1.23,-1.2,14.87,1.59,13.27,9.9,2.68,4.47,0.43,4.03,2.92,4.71,0.72,3.99,
54109,2011-10-30,0.0,96.35,3.72,5.71,-0.88,-0.84,12.57,1.52,11.05,3.79,1.05,2.32,0.36,1.96,2.04,5.93,0.47,5.46,
18051,2008-04-25,9.44,99.63,12.7,20.33,17.58,17.58,25.31,14.7,10.61,20.1,7.15,9.55,3.78,5.77,10.17,12.47,7.28,5.19,
55117,2007-03-20,0.0,100.53,2.59,-1.38,-5.1,-5.03,0.9,-4.6,5.5,0.4,6.86,9.84,5.52,4.31,8.34,12.54,5.99,6.54,0.0
21029,2015-06-12,2.25,98.94,17.13,25.66,22.33,22.33,29.86,21.59,8.27,25.63,3.88,5.4,2.73,2.67,6.54,7.63,5.38,2.24,
13275,2004-01-19,0.59,100.46,6.32,9.66,6.35,6.36,13.52,1.25,12.27,9.59,2.9,4.52,1.67,2.85,4.97,7.03,3.42,3.61,
51081,2004-05-30,3.73,100.59,12.24,19.51,17.03,17.03,23.03,15.53,7.5,19.62,1.93,2.79,1.33,1.46,3.9,4.71,2.79,1.92,
28065,2006-07-29,4.75,100.59,16.81,29.21,22.2,22.2,35.73,23.34,12.4,29.13,0.89,1.33,0.42,0.91,2.21,3.88,0.78,3.09,
48263,2007-08-04,0.0,93.86,16.01,27.02,20.38,20.38,32.52,21.14,11.38,28.14,4.19,5.39,2.51,2.88,6.13,7.74,4.52,3.22,
48309,2013-06-13,0.0,99.14,14.71,29.96,19.8,19.8,37.42,23.13,14.29,31.58,3.28,4.57,2.48,2.08,5.12,7.0,2.92,4.08,
37183,2016-07-13,0.53,100.5,16.33,28.25,21.78,21.78,34.28,22.09,12.19,28.05,1.73,2.41,1.03,1.39,3.08,4.16,1.37,2.79,
56029,2016-02-28,0.79,74.25,2.99,-5.13,-7.07,-7.05,-1.85,-9.67,7.82,-5.15,5.08,6.4,3.02,3.39,7.49,9.67,5.12,4.54,
1027,2004-03-24,0.0,100.01,5.25,11.23,4.12,4.14,19.54,2.72,16.83,11.31,2.12,2.86,1.55,1.32,5.01,6.65,2.5,4.15,
13237,2005-10-18,0.0,99.62,7.42,17.92,9.19,9.19,28.86,7.92,20.95,17.31,1.8,2.31,0.93,1.38,3.72,5.15,1.34,3.8,0.0
39119,2003-04-19,0.24,98.85,8.65,15.3,11.3,11.3,23.24,7.2,16.04,15.3,1.96,2.36,1.21,1.15,3.89,6.13,2.73,3.4,
21181,2013-11-21,0.18,99.28,5.88,8.06,5.52,5.53,13.28,2.8,10.47,7.68,2.35,2.91,1.79,1.12,4.85,6.6,3.44,3.15,
45041,2011-09-06,11.25,100.24,18.5,26.91,23.7,23.7,30.78,21.77,9.01,26.83,5.6,8.66,2.43,6.23,8.31,11.39,5.39,6.01,1.0
51133,2011-11-04,2.1,101.38,6.72,11.13,8.03,8.03,13.91,9.15,4.77,11.86,6.61,9.97,1.06,8.9,8.43,12.94,1.61,11.33,
31117,2013-08-15,0.92,90.06,11.56,19.96,14.59,14.6,25.73,15.5,10.24,20.91,1.91,3.1,0.34,2.76,2.86,6.28,0.54,5.74,
13241,2004-01-23,0.0,95.78,2.38,-0.32,-6.99,-6.82,7.28,-5.84,13.13,-0.26,2.58,3.38,1.94,1.44,5.29,6.5,4.03,2.47,
38079,2000-12-02,0.09,96.48,1.87,-9.18,-9.87,-9.84,-4.55,-16.02,11.47,-9.5,7.3,8.81,4.07,4.74,9.79,11.59,6.9,4.69,
